ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
11;ESTATUA;1;MARMOL DE CORDOBA;INTERIORES;ALVAREZ LOMBA, A.;;;BOEDO AV. 883;BOEDO AV.;883;BOEDO;COMUNA 5;1218;C1218AAE;-34.62371261326536;-58.4163275755905
14;ESTATUA;1;MARMOL;EL TRABAJO;ANDINA, EMILIO;;;CASEROS AV. Y MONTEAGUDO;CASEROS AV.;;PARQUE PATRICIOS;COMUNA 4;;;-34.63711738161982;-58.40561079435866
15;ESTATUA;1;BRONCE;?USTA (FUENTE INCAICA);ANDINA, EMILIO;;;PERON, EVA AV. 1410;PERON, EVA AV.;1410;PARQUE CHACABUCO;COMUNA 7;1406;C1406HMP;-34.632902763217736;-58.44476251965362
17;MASTIL;1;GRANITO Y BRONCE;HOMENAJE A LA BANDERA;PERLOTI, LUIS;PLAZA VELEZ SARSFIELD;PLAZA VELEZ SARSFIELD;AVELLANEDA AV. 3800;AVELLANEDA AV.;3800;FLORESTA;COMUNA 10;1407;C1407EJR;-34.62920338494417;-58.48217465717332
18;MONUMENTO;1;BRONCE Y MAMPOSTERIA;CEFERINO NAMUNCURA;ARMAS, ARMANDO;PZTA CEFERINO NAMUNCURA;PZTA CEFERINO NAMUNCURA;ARREGUI AV. 6400;ARREGUI AV.;6400;VERSALLES;COMUNA 10;1408;C1408AVV;-34.6284718480725;-58.52401789645231
19;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA OBRA 85;D.G.M;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
21;BUSTO;1;MARMOL;BASILIO V. PERTINE;ARRIGUTTI, MASIO;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
22;PLACA;1;BRONCE;HJE. A JUAN DE GARAY;;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
23;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. AL IV° CENTENARIO;;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
24;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. AL IV° CENTENARIO;;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
25;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. VASCO A GUERNICA;;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
26;BUSTO;1;MARMOL;MARIANO DE VEDIA YMITRE;ASSALI, ORESTES;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
27;ESCULTURA MODERNA;1;MAMPOSTERIA;LA PRIMAVERA;ASSLER, FEDERICO;;;CORDOBA AV. Y RODRIGUEZ PEÑA;CORDOBA AV.;;SAN NICOLAS;COMUNA 1;;;-34.5995601455541;-58.39155901024706
28;MONUMENTO;1;BRONCE Y GRANITO;EN LAS AMERICAS;ATTARDI, UGO;PZTA PROVINCIA DE TUCUMAN;PZTA PROVINCIA DE TUCUMAN;9 DE JULIO AV. Y PELLEGRINI, CARLOS;9 DE JULIO AV.;;RETIRO;COMUNA 1;;;-34.59668496376315;-58.38142415256232
29;BUSTO;1;PIEDRA MAR DEL PLATA;MIGUEL DE CERVANTES SAAVEDRA;AZCARATE, ENRIQUE;JARDIN DE LOS POETAS;JARDIN DE LOS POETAS;ISABEL, INFANTA AV. 900;ISABEL, INFANTA AV.;900;;COMUNA 14;1425;C1425CHA;-34.57006679763025;-58.42048286500513
31;ESTATUA;1;BRONCE;LA COSECHADORA;BADIN, JEAN VICTOR;;;MITRE, EMILIO 793;MITRE, EMILIO;793;PARQUE CHACABUCO;COMUNA 7;1424;C1424AYO;-34.63093429652618;-58.442290810147185
33;MONUMENTO;1;BRONCE Y MARMOL;HOMENAJE A LOS CAIDOS EN CASTILLA;BAIARDI, MARIO;;;OBLIGADO RAFAEL, AV.COSTANERA;OBLIGADO RAFAEL, AV.COSTANERA;;;COMUNA 1;;;;
